Area,CourseNumber,Title,Credit,Quarter,EarlyLate,StartTime,EndTime,MinBid,AvgBid,Prereq
DIR,7616,Leadership Ride: Lesson in Leadership - Gettysburg,1.5,EQtr4,None,None,None,1,600,None
DIR,8500IVS,Special Topics Seminar: Innovating Value for Stakeholders: The Case of Fintech,1.5,EQtr4,None,None,None,77,180,None
DWC,8031,Doing Business in Mexico,1.5,EQtr4,None,None,None,77,180,None
DWC,8519,Entrepreneurship and Innovation -Israel,1.5,EQtr4,None,None,None,77,180,None
DWC,8522,Luxury and Exports-Italy,1.5,EQtr4,None,None,None,77,180,None
DWC,8529,Lessons from South Africa on Public-Private Sector Cooperation to Grow an Economy- South Africa,1.5,EQtr4,None,None,None,77,180,None
ENTRE,8518,Creativity and Design in Barcelona,1.5,EQtr4,None,None,None,105,544.5,None
ETH,8274,Leadership When it Really Counts,1.5,EQtr4,None,None,None,1,43,None
FIN,8173,Global Capital Markets,1.5,EQtr4,None,None,None,200,478,7603
FIN,8623,Financial Trading,1.5,EQtr4,None,None,None,4,61,7603
GEM,8526,Global Competitiveness: A New Zealand Perspective ,1.5,EQtr4,None,None,None,153,300,None
LDSP,8514,NOLS Experiential Leadership -Patagonia,1.5,EQtr4,None,None,None,815,1001,None
LDSP,8514,NOLS Experiential Leadership -Patagonia,1.5,EQtr4,None,None,None,815,1001,None
MKT,8500D,Marketing Technology Products,1.5,EQtr4,None,None,None,77,180,None
MKT,8620,Constructing Superior Brand Positions,1.5,EQtr4,None,None,None,1,90,None
DWC,8517,Navigating Difficult Waters: Addressing Tough Problems in Business and Society-Singapore/Sri Lanka,1.5,J-Term,None,None,None,1,80,None
DWC,8645,Honoring the Traditions of the Past while Confronting the Challenges of the Future-Dubai/Bahrain,1.5,J-Term,None,None,None,1,80,None
ENTRE,8633,Software Development,1.5,J-Term,None,None,None,1,75,None
LDSP,8439,Leadership and Cultures of Trust & Innovation (January one-week course),1.5,J-Term,None,None,None,1,30.5,None
ACC,8190,Taxation and Management Decisions,1.5,Qtr1,LateWeek,10:00AM,11:25AM,1.5,148,None
ACC,8190,Taxation and Management Decisions,1.5,Qtr1,LateWeek,11:45AM,1:10PM,1.5,148,None
ACC,8410,Financial Statement Analysis and Corporate Valuation,1.5,Qtr1,LateWeek,10:00AM,11:25AM,7,100,None
ACC,8465,Management Planning and Control Systems,1.5,Qtr1,LateWeek,8:00AM,9:25AM,1,55,None
DIR,8164,Experiential Leadership Development Lab ,1.5,Qtr1,None,None,None,77,180,None
DIR,8500Z,Character Traits and Success,1.5,Qtr1,MondayOnly,7:00PM,8:25PM,77,180,None
DIR,8509,Tactical Topics for Entrepreneurship Through Acquisition,1.5,Qtr1,LateWeek,11:45AM,1:10PM,77,180,None
ENTRE,8210,Starting New Ventures,1.5,Qtr1,EarlyWeek,11:45AM,1:10PM,63.5,156.25,None
ENTRE,8210,Starting New Ventures,1.5,Qtr1,EarlyWeek,2:45PM,4:10PM,63.5,156.25,None
ENTRE,8290,Venture Capital,1.5,Qtr1,EarlyWeek,10:00AM,11:25AM,105,171,None
ENTRE,8632,Software Design,1.5,Qtr1,LateWeek,10:00AM,11:25AM,1,88,None
FIN,7603,Valuation in Financial Markets,1.5,Qtr1,EarlyWeek,8:00AM,9:25AM,1,143,None
FIN,7603,Valuation in Financial Markets,1.5,Qtr1,EarlyWeek,10:00AM,11:25AM,1,143,None
FIN,8170,Managerial Finance,1.5,Qtr1,LateWeek,2:45PM,4:10PM,1,102,7603
FIN,8453,Entrepreneurial Finance and Private Equity,1.5,Qtr1,EarlyWeek,8:00AM,9:25AM,198.25,332.625,7603
FIN,8453,Entrepreneurial Finance and Private Equity,1.5,Qtr1,LateWeek,10:00AM,11:25AM,198.25,332.625,7603
FIN,8453,Entrepreneurial Finance and Private Equity,1.5,Qtr1,EarlyWeek,11:45AM,1:10PM,198.25,332.625,7603
FIN,8453,Entrepreneurial Finance and Private Equity,1.5,Qtr1,LateWeek,11:45AM,1:10PM,198.25,332.625,7603
GEM,8626,Global Economics of Water,1.5,Qtr1,EarlyWeek,2:45PM,4:10PM,1,77.5,None
LDSP,8308,Leadership Learning Lab,1.5,Qtr1,None,8:00AM,9:25AM,77,180,None
MISC,8401,Cross Cultural Internship,0,Qtr1,None,None,None,77,180,None
MKT,8047,Pricing,1.5,Qtr1,None,None,None,1,15,None
MKT,8500BLP,Building and Leading a Professional Sales Force,1.5,Qtr1,MondayOnly,2:45PM,5:55PM,1,100,None
NEG,8930,Negotiations,1.5,Qtr1,EarlyWeek,10:00AM,11:25AM,1,95.5,None
OPS,8800,Operations Strategy,1.5,Qtr1,EarlyWeek,11:45AM,1:10PM,1,50,None
QA,7600,Data Analysis and Optimization,1.5,Qtr1,EarlyWeek,2:45PM,4:10PM,26,228,None
RDGS,8240,Reading Seminar in Management I,1.5,Qtr1,MondayOnly,2:45PM,4:10PM,16.66666667,82.41666667,None
RDGS,8240,Reading Seminar in Management I,1.5,Qtr1,TuesdayOnly,2:45PM,4:10PM,16.66666667,82.41666667,None
RDGS,8240,Reading Seminar in Management I,1.5,Qtr1,MondayOnly,4:30PM,5:55PM,16.66666667,82.41666667,None
RDGS,8240,Reading Seminar in Management I,1.5,Qtr1,TuesdayOnly,4:30PM,5:55PM,16.66666667,82.41666667,None
RDGS,8270,Reading Seminar in Management III: Thomas Jefferson,1.5,Qtr1,MondayOnly,4:30PM,5:55PM,268.5,346.25,None
STRAT,8870,Strategy Seminar,1.5,Qtr1,EarlyWeek,11:45AM,1:10PM,77,180,None
STRAT,8870,Strategy Seminar,1.5,Qtr1,EarlyWeek,2:45PM,4:10PM,77,180,None
TOM,8636,Digital Product Management ,1.5,Qtr1,LateWeek,11:45AM,1:10PM,2,141,None
DIR,8500RR,Mayo Center Reading Seminar: PART I: Discretionary Asset Managers ,1.5,"Qtr1,Qtr2",ThursdaysOnly,4:30PM,9:00PM,77,180,None
DIR,8500TT,Maximizing Leadership Potential in Sports and Business ,1.5,"Qtr1,Qtr2",TuesdayOnly,6:00PM,8:00PM,400,466.5,None
DIR,8500YY,Venture Velocity ,3,"Qtr1,Qtr2",MondayOnly,4:30PM,6:15PM,77,180,None
DIR,8500ZZT,Due Diligence in Seed Funds ,1.5,"Qtr1,Qtr2",WednesdayOnly,4:30PM,5:55PM,77,180,None
FIN,8008,"The Financial Crisis Ten Years Later: Politics, Markets, and Institutions",3,"Qtr1,Qtr2",None,None,None,77,180,7603
FIN,8500MM,Applied Security Analysis,1.5,"Qtr1,Qtr2",MondayOnly,4:30PM,5:55PM,100,308.5,7603
GEN,8260,The Practice of General Management ,3,"Qtr1,Qtr2",LateWeek,10:00AM,11:25AM,103,330,None
GEN,8375,Leadership Lessons of Eight Transformational U.S. Presidents Part I,1.5,"Qtr1,Qtr2",None,None,None,77,180,None
